,備考,"Main_No
(BTS#)",Estimate_VendorType,"Estimate_ModuleMain,Main_ModuleMain","Estimate_ModuleSub,Main_ModuleSub","UN_Summary_J
現象/機能のサマリー(日本語）",UN_Summary,"UN_Detail_J
現象/機能の詳細(日本語）",UN_Detail,"UN_ImpOpeResult_J
改善後の動作と結果(日本語）",UN_ImpOpeResult,"UN_RelevantRevision_J
現象発生レビジョン(日本語）",UN_RelevantRevision,RelatedPackages,ReferDoc,ReferDoc_J,OutputProduct,InputFileName,responsibility for the UN contents
R1.04_01,2016/6/10追加,BTS00029631,Defect,GUI_Tools,SystemViewer,ランタイム・エラーが発生すると、System Viewerがハングアップする現象,System Viewer would hang when a runtime error occurred.,System Viewerが起動中にランタイム・エラーが発生した場合、System Viewerがハングアップすることがありました。,System Viewer would hang when a runtime error occurred during the System Viewer-start up.,上記の場合でも、System Viewerが異常終了しないようにしました。,System Viewer does not hang in the above-described case.,R1.04_00以降,R1.04_00 and later,OAI_T6KOS_x64,,,"PLXE61,PLXT61",UN_APSoft1.xls,綿貫
R1.04_01,5/10小林(雅),BTS00029542,Defect,STDF,RecordTypes,STDFに発生していないアラームの種類が出力される現象,The types of alarms that did not occur were output to STDF.,"以下の条件をすべて満たす場合、STDFのFTRのALARM_IDフィールドに発生していないアラームの種類が出力されていました。
・直前の試験までにアラームが発生することで試験結果がフェイルしている。
・MEASURE_FTクラスのExec()メソッドを実行する。","When all of the following conditions were met, the types of alarms that did not occur were output to the ALARM_ID field of FTR of STDF: 
- The test result is FAIL due to occurrence of an alarm in a previous test. 
- The Exec() method of the MEASURE_FT class is executed.",上記の条件でも、FTRのALARM_IDフィールドには発生していないアラームの種類は出力しません。,The types of alarms that did not occur are not output now to the ALARM_ID field of FTR even under the above-described conditions.,R1.02_01以降,R1.02_01 and later,AT_T6KCommon_x64,,,PLXM20-MD,UN_ASDSoft3.xls,ASDSoft3小林(雅)
R1.04_01,工藤,BTS00029481,Defect,TDL,TDL Interpreter,ExPinオブジェクトの物理ピン番号を変更した場合にランタイム・エラーとなる現象,A runtime error occurred when the physical pin number of the ExPin object was changed.,"以下の条件をすべて満たす場合、ランタイム・エラーが発生していました。
条件：
・ExPinオブジェクトを記述しているTDLファイルをロードする。
・ExPinオブジェクトの物理ピン番号のみを変更し、再ロードする。
・テスト・プラン・プログラムを実行する。

[エラーメッセージ]
INTERNAL ERROR: An unexpected error was occurred.","When all of the following conditions were met, a runtime error occurred. 
Conditions:
- A TDL file in which an ExPin object is described is loaded. 
- Only the physical pin number in the ExPin object is changed, and then the file is reloaded. 
- A test plan program is executed. 

[Error message]
INTERNAL ERROR: An unexpected error was occurred.",ExPinオブジェクトの物理ピン番号を変更して実行してもランタイム・エラーにならず正常に実行できるようにしました。,A runtime error does not occur and it is executed correctly even when the physical pin number in the ExPin object is changed and then executed.,R1.03_00以降,R1.03_00 and later,AT_T6KCommon_x64,,,PLXM20-MD,UN_ASDSoft3.xls,ASDSoft3 工藤
R1.04_01,工藤,BTS00029479,Defect,TDL,TDL Interpreter,TDL Debugger ToolからPlotボタンをクリックしたときにシステム・コントローラがハングアップする現象,The system controller would hang when the Plot button was clicked on from TDL Debugger Tool.,TDL Debugger Toolのソース・コード・ウィンドウ上のARRAYの参照オブジェクトを選択し、Plotボタンをクリックした場合にシステム・コントローラのプロセスがハングアップしていました。,A process of the system controller would hang when a reference object of ARRAY in the source code window of TDL Debugger Tool was selected and the Plot button was clicked on.,TDL Debugger Toolのソース・コード・ウィンドウ上のARRAYの参照オブジェクトを選択し、Wave Scope Tool上にグラフを表示できるようにしました。,The graph can now be displayed in Wave Scope Tool by selecting a reference object of ARRAY in the source code window of TDL Debugger Tool.,R1.00_00以降,R1.00_00 and later,AT_T6KCommon_x64,,,PLXM20-MD,UN_ASDSoft3.xls,ASDSoft3 工藤
R1.04_01,工藤,BTS00029559,Defect,TDL,TDL Interpreter,複数個同時測定時にピン分割数より大きな物理ピン番号を指定したときにテスト・プラン・プログラムのロードでエラーとならない現象,"When a physical pin number larger than the number of pins assigned per DUT was specified in a multiple-device parallel test, an error did not occur when a test plan program was loaded.","PARALLELクラスのピン分割数と信号ピンの物理ピン番号が以下のいずれかの条件を満たす場合、テスト・プラン・プログラムのロードでエラーとなっていませんでした。
・DPINの場合:PARALLELクラスのpinデータ・メンバに指定した値 < DPINクラスのdefineデータ・メンバに指定した物理ピン番号
・RVPINの場合:PARALLELクラスのrvspinデータ・メンバに指定した値 < RVSPINクラスのdefineデータ・メンバに指定した物理ピン番号
・HSIFPINの場合:PARALLELクラスのhsifpinデータ・メンバに指定した値 < HSIFPINクラスのdefineデータ・メンバに指定した物理ピン番号","Even if the number of pins assigned per DUT of the PARALLEL class and the physical pin number of the signal pin satisfied any of the following conditions, an error did not occur when a test plan program was loaded: 
- For DPIN: Value specified for the pin data member of the PARALLEL class < Physical pin number specified for the define data member of the DPIN class
- For RVPIN: Value specified for the rvspin data member of the PARALLEL class < Physical pin number specified for the define data member of the RVSPIN class
- For HSIFPIN: Value specified for the hsifpin data member of the PARALLEL class < Physical pin number specified for the define data member of the HSIFPIN class","上記条件のテスト・プラン・プログラムのロードでエラーとなるようにしました。
[エラーメッセージ]
Translator Error: Physical pin number '33' of 'dpin1' is out of range because PARALLEL::pin(int pin_div) specified '32'.","An error now occurs of the following message when a test plan program is loaded under the above-described conditions. 
[Error message]
Translator Error: Physical pin number '33' of 'dpin1' is out of range because PARALLEL::pin(int pin_div) specified '32'.",R1.00_00以降,R1.00_00 and later,AT_T6KCommon_x64,,,PLXM20-MD,UN_ASDSoft3.xls,ASDSoft3 工藤
R1.04_01,清野,BTS00029565,Defect,TDL,TDL Interpreter,サイト・コントローラ・プロセスが間欠でフリーズする現象,The site controller process would freeze intermittently.,テスト・プラン・プログラムのスタート時に、サイト・コントローラ・プロセスが間欠でフリーズしていました。,The site controller process would freeze intermittently at the test plan program-start.,テスト・プラン・プログラムが正常にスタートできるようにしました。,Test plan program starts in the normal operation.,R1.04_00のみ,R1.04_00 only,AT_T6KCommon_x64,,,PLXM20-MD,UN_ASDSoft3.xls,ASDSoft3　清野
R1.04_01,,BTS00029531,Defect,TDL,Testing Unit Class,ExPMUクラスのGet_Result()メソッドの読み出し結果がフェイルとなる現象,The read result of the Get_Result() method of the ExPMU class was FAIL.,"ExPMUクラスのExec()メソッドおよびStart()メソッドを実行するオブジェクトとGet_Result()メソッドを実行するオブジェクトが異なるとき、DUTの判定結果がパスにもかかわらず、Get_Result()メソッドの読み出し結果がフェイルになることがありました。
例：
ExPin expin(PPS_AWG, 97);
ExPMU pmu_meas(expin);
ExPMU pmu_result(expin);

pmu_meas.Load();
pmu_meas.Exec(1mS, 1mS);
int result = pmu_result.Get_Result();
// resultがFAILになる","When the object for executing the Exec() method and Start() method of the ExPMU class was different from that for executing the Get_Result() method, the read result of the Get_Result() method was sometimes FAIL despite the fact that the DUT judgment result was PASS. 
Example:
ExPin expin(PPS_AWG, 97);
ExPMU pmu_meas(expin);
ExPMU pmu_result(expin);

pmu_meas.Load();
pmu_meas.Exec(1mS, 1mS);
int result = pmu_result.Get_Result();
// The result was FAIL.",上記の状態でもGet_Result()メソッドで正しい読み出し結果を取得できるようにしました。,The correct read result can now be obtained with the Get_Result() method under the above-described condition.,R1.03_00以降,R1.03_00 and later,AT_T6KCommon_x64,,,PLXM20-MD,UN_ASDSoft1.xls,佐藤
R1.04_01,,BTS00029529,Defect,TDL,Testing Unit Class,PPSおよびHVDCユニットのリファレンスオン/オフの行われる時間が遅くなる現象,The time taken for reference-on or -off for the PPS and HVDC units was delayed.,"以下のユニットかつ測定レンジのとき、リファレンスオンまたはリファレンスオフの行われる時間が約1.3mS遅くなることがありました。
対象ユニット：
・PPS
・HVDC（HighCapモードがONのとき）

対象測定レンジ：
・M8UA
・M80UA
・M800UA
・M8MA

その結果、クラスごとに以下の現象が発生することがありました。
・SEQUENCEクラスの場合
　パワー・シーケンス間の時間が指定した時間より約1.3mS長くなる、または1.3mS短くなる
・SEQUNIT, OUTBLOCKおよびMEASURE_IMクラスの場合
　リファレンスオンまたはリファレンスオフ後の待ち時間が指定した時間より約1.3mS短くなる","With any of the following units and measurement ranges, the time taken for reference-on or reference-off was sometimes delayed by about 1.3 mS. 
Relevant unit:
- PPS
- HVDC (when the HighCap mode was ON)

Relevant measurement range:
- M8UA
- M80UA
- M800UA
- M8MA

As a result, the following problem occurred for each class: 
- For the SEQUENCE class
The time between power sequences became longer or shorter than the specified time by about 1.3 mS.
- For the SEQUNIT, OUTBLOCK, and MEASURE_IM classes
The wait time after reference-on or reference-off became shorter than the specified time by about 1.3 mS.","・SEQUENCEクラスの場合
　パワー・シーケンス間の時間が指定した時間通りになるようにしました。
・SEQUNIT, OUTBLOCKおよびMEASURE_IMクラスの場合
　リファレンスオンまたはリファレンスオフ後の待ち時間が指定した時間通りになるようにしました。","- For the SEQUENCE class
The time between power sequences is now the same as the specified time. 
- For the SEQUNIT, OUTBLOCK, and MEASURE_IM classes
The wait time after reference-on or reference-off is now the same as the specified time.",R1.00_00以降,R1.00_00 and later,AT_T6KCommon_x64,,,PLXM20-MD,UN_ASDSoft1.xls,ASDソフト１課 上原
R1.04_01,5/24追加,BTS00029580,Defect,TDL,Testing Unit Class,ランプ波が出力されない現象,Ramp waves were not output.,"以下の条件をすべて満たしたとき、ExAWGクラスを使ったADC試験でランプ波が出力されないことがありました。
・複数個同時測定をしている
・DUT1を測定対象から除外している
・ExAWGクラスのClockSrcデータ・メンバにCLK_PATを指定している
・ExAWGクラスのStart()メソッドを複数回実行している","When all of the following conditions were met, ramp waves were sometimes not output in an ADC test using the ExAWG class: 
- A multiple-device parallel test is being executed.
- DUT1 is excluded from the measurement targets.
- CLK_PAT is specified for the ClockSrc data member of the ExAWG class.
- The Start() method of the ExAWG class has been executed more than once.",上記の条件でもランプ波が出力されるようにしました。,Ramp waves can now be output even under the above-described conditions.,R1.03_00以降,R1.03_00 and later,AT_T6KCommon_x64,,,PLXM20-MD,UN_ASDSoft1.xls,ASDソフト１課 栗原
R1.04_01,5/25追加,BTS00029575,Defect,TDL,Testing Unit Class,PPSユニットでタイムアウト・エラーが発生する現象,A timeout error occurred in the PPS unit.,"テスト・プラン・プログラムの終了時またはCONTACTクラスのOff()メソッド実行時にPPSユニットでタイムアウト・エラーが発生することがありました。
[エラーメッセージ]
The timeout occurred.","A timeout error sometimes occurred in the PPS unit at the end of a test plan program or when the Off() method of the CONTACT class was executed. 
[Error message]
The timeout occurred.",上記のときにタイムアウト・エラーが発生しないようにしました。,A timeout error does not occur now even under the above-described condition.,R1.03_00以降,R1.03_00 and later,AT_T6KCommon_x64,,,PLXM20-MD,UN_ASDSoft1.xls,松村
R1.04_01,大泉,BTS00029495,Defect,TDL,Testing Unit Class,VECTORFILEGRPクラスのLoad()メソッドでランタイム・エラーが発生する現象,A runtime error occurred in the Load() method of the VECTORFILEGRP class.,"VECTORFILEGRPクラスのlpatデータ・メンバに、以下のLPATプログラムを混在して指定すると、Load()メソッドでランタイム・エラーが発生していました。
・R1.02_01以前でコンパイルされたパターン
・R1.03_00以降でコンパイルされたパターン

ランタイム・エラーが発生したときのメッセージは以下の通りです。
[エラーメッセージ]
The functional availability is mismatch at each pattern as a group pattern.  
Use each pattern which is compiled by the same revision.","When the following LPAT programs were specified together for the lpat data member of the VECTORFILEGRP class, a runtime error occurred in the Load() method: 
- Pattern that was compiled with R1.02_01 or earlier
- Pattern that was compiled with R1.03_00 or later

The message displayed when a runtime error occurred was as follows: 
[Error message]
The functional availability is mismatch at each pattern as a group pattern.  
Use each pattern which is compiled by the same revision.",VECTORFILEGRPクラスのlpatデータ・メンバに上記のLPATプログラムを指定してLoad()メソッドを実行してもランタイム・エラーは発生せず、正常に実行できるようにしました。,"Even if the above-listed LPAT programs are specified together for the lpat data member of the VECTORFILEGRP class and then the Load() method is executed, a runtime error does not occur and it can be executed correctly now.",R1.03_00以降,R1.03_00 and later,AT_T6KCommon_x64,,,PLXM20-MD,UN_ASDSoft3.xls,ASDSoft3大泉
R1.04_01,廣町,BTS00029521,Defect,TDL,Testing Unit Class,TIMERレジスタの値をUHSIFオプションに設定できない現象,The TIMER register value could not be set to the UHSIF option.,"以下の条件のとき、TIMERレジスタの値をUHSIFオプションに設定できないため、パターン・プログラムでPAUSE命令を使用したファンクション試験を正しく実行できませんでした。
・パターン・プログラム中のREGISTER文でTimer Registerを設定する。
・TDLプログラム中のVECTORREGクラスのTIMERデータ・メンバを設定する。","Because the TIMER register value could not be set to the UHSIF option under the following conditions,  functional test could not be executed correctly with  pattern program using the PAUSE instruction: 
- Timer Register is set in the REGISTER statement in the pattern program. 
- The TIMER data member of the VECTORREG class in the TDL program is set.",上記の条件でTIMERレジスタの値をUHSIFオプションに設定できるようにしました。,The TIMER register value can now be set to the UHSIF option under the above- described conditions.,R1.00_00以降,R1.00_00 and later,AT_T6KCommon_x64,,,PLXM20-MD,UN_ASDSoft3.xls,ASDSoft3　廣町
R1.04_01,阪東,BTS00029497,Defect,TDL,Testing Unit Class,JUDGEクラスの判定結果がLHFAILとなるべきところがHFAILと判定される現象,"The judgment result of the JUDGE class should have been LHFAIL, but it was HFAIL.","以下の条件をすべて満たすDUTにおいて、JUDGEクラスの判定結果がLHFAILとなるべきところが、HFAILと判定していました。
・JUDGE_LIMITクラスのupperデータ・メンバおよびlowerデータ・メンバにARRAYオブジェクトを指定
・upperデータ・メンバ、lowerデータ・メンバ、JUDGEクラスのvalueデータ・メンバに設定した値の大小関係が以下の通り
    upper < (JUDGEクラスのvalueデータ・メンバに設定した値) < lower
・lowerデータ・メンバが以下の通り
    以前にARRAYオブジェクト以外で値を設定していた場合：
      (ARRAYオブジェクト以外で設定した最新の値) < (ARRAYオブジェクトで設定した値)
    上記以外の場合：
      0 < (ARRAYオブジェクトで設定した値)","For DUTs that met all the following conditions, the judgment result of the JUDGE class should have been LHFAIL, but it was HFAIL: 
- An ARRAY object is specified for the upper and lower data members of the JUDGE_LIMIT class.
- Values specified for those upper and lower data members and for the value data member of the JUDGE class satisfy the following expression:
    upper < (Value specified for the value data member of the JUDGE class) < lower
- The lower data member is as follows:
    When the value was specified using an object other than an ARRAY object before:
      (Latest value specified using an object other than an ARRAY object) < (Value specified using an ARRAY object)
    Cases other than the previously mentioned conditions:
      0 < (Value specified using an ARRAY object)",上記の条件を満たす場合でも、JUDGEクラスの判定結果がLHFAILと正しく判定されるようにしました。,The judgment result of the JUDGE class is now correctly output as LHFAIL in all of the above described condition-met state.,R1.00_00以降,R1.00_00 and later,AT_T6KCommon_x64,,,PLXM20-MD,UN_ASDSoft3.xls,ASDSoft3阪東
R1.04_01,阪東,BTS00029497,Defect,TDL,Testing Unit Class,JUDGEクラスのデータ・ログのUP_LIMおよびLO_LIMに工学単位が出力されない現象,The engineering unit was not output to UP_LIM and LO_LIM of the JUDGE class data log.,JUDGE_LIMITクラスのupperデータ・メンバおよびlowerデータ・メンバに工学単位型のARRAYオブジェクトを指定した場合、JUDGEクラスのデータ・ログのUP_LIMおよびLO_LIMに工学単位が出力されませんでした。,"When an engineering-unit-type ARRAY object was specified for the upper and lower data members of the JUDGE_LIMIT class, the engineering unit was not output to UP_LIM and LO_LIM of the JUDGE class data log.",JUDGEクラスのデータ・ログのUP_LIMおよびLO_LIMに工学単位が正しく出力されるようにしました。,The engineering unit is now output correctly to UP_LIM and LO_LIM of the JUDGE class data log.,R1.00_00以降,R1.00_00 and later,AT_T6KCommon_x64,,,PLXM20-MD,UN_ASDSoft3.xls,ASDSoft3阪東
R1.04_01,5/10小林(雅),BTS00029542,Defect,TDL,Testing Unit Class,ALARMクラスのpbvee、pbvccおよびpbutlpsデータ・メンバにALARM_FAILを指定できない現象,"ALARM_FAIL could not be specified for the pbvee, pbvcc, and pbutlps data members of the ALARM class.","ALARMクラスのpbvee、pbvccおよびpbutlpsデータ・メンバにALARM_FAILを指定した場合、このデータ・メンバの実行でランタイム・エラーが発生していました。
[エラー・メッセージ]
The symbol is illegal.
Member where error occurs: pbvee (*1)
Specified symbol: ALARM_FAIL
Possible symbol: ALARM_RTE
Please specify the symbol that can be specified.
(*1)　エラーが発生したデータ・メンバのpbvcc、pbveeまたはpbutlpsを出力","When ALARM_FAIL was specified for the pbvee, pbvcc, or pbutlps data member of the ALARM class, a runtime error occurred during the execution of the relevant data member. 
[Error message]
The symbol is illegal.
Member where error occurs: pbvee (*1)
Specified symbol: ALARM_FAIL
Possible symbol: ALARM_RTE
Please specify the symbol that can be specified.
(*1) pbvcc, pbvee, or pbutlps of the data member in which the error has occurred is output.",ALARMクラスのpbvee、pbvccおよびpbutlpsデータ・メンバにALARM_FAILを指定できるようにしました。,"ALARM_FAIL can now be specified for the pbvee, pbvcc, and pbutlps data members of the ALARM class.",R1.00_00以降,R1.00_00 and later,AT_T6KCommon_x64,T6391 システム・ソフトウェア TDLリファレンス・マニュアル テスティング・ユニット・クラス編,T6391 System Software TDL Reference Manual Testing Unit Class,PLXM20-MD,UN_ASDSoft3.xls,ASDSoft3小林(雅)
R1.04_01,5/10小林(雅),BTS00029542,Defect,TDL,Testing Unit Class,アラーム発生により試験結果がフェイルした場合、、TESTBINクラスの戻り値が常にフェイルとなる現象,"When the test result was FAIL due to occurrence of an alarm, the return value of the TESTBIN class was always FAIL.","以下の条件をすべて満たす場合、TESTBINクラスのGet_Result()メソッドならびにmGet_Result()メソッドが常にフェイルとなっていました。
・直前の試験までにアラームが発生することで試験結果がフェイルする
・MEASURE_FTクラスのExec()メソッドを実行する。
・TESTBINクラスのGet_Result()メソッドまたはmGet_Result()メソッドを実行する。","When all of the following conditions were met, the Get_Result() method and mGet_Result() method of the TESTBIN class were always FAIL: 
- The test result is FAIL due to occurrence of an alarm in a previous test.
- The Exec() method of the MEASURE_FT class is executed. 
- The Get_Result() method or mGet_Result() method of the TESTBIN class is executed.",上記の条件でも、TESTBINクラスはMEASURE_FTクラスのExec()メソッドの結果を正しく返します。,The TESTBIN class now returns the result of the Exec() method of the MEASURE_FT class correctly even under the above-described conditions.,R1.02_01以降,R1.02_01 and later,AT_T6KCommon_x64,,,PLXM20-MD,UN_ASDSoft3.xls,ASDSoft3小林(雅)
R1.04_01,小林(剛),BTS00029614,Defect,TDL,Testing Unit Class,任意ピン同時測定時、LCDPINのストローブのタイミング値が正しく設定されない現象,Timing values of the LCDPIN strobe were not set correctly.,"下記に示す条件をすべて満たす場合、LCDSTRB クラスのstrbデータ・メンバで設定したタイミング・セット5以上のストローブのタイミング値が正しく設定されませんでした。
・任意ピン同時測定を使用
・LCDPIN を含むパターン・プログラムで、タイミング・セット5以上を使用している
・物理ピン128チャンネルを1つの単位として、その中でチャンネル23、24、25、26を含んだLCDPINをSOCKETクラスのlcddefineデータ・メンバに指定していない","Strobe timing values of the timing set-5 and beyond specified in the strb data member in the LCDSTRB class were not set correctly under all of the following-met condition:
 - Free-pin-assignment parallel test
 - Timing set-5 and beyond are used in the LCDPIN specified pattern program.
 - Channel-23, 24, 25, and 26 (of the physical pin-128 channel unit count) contained LCDPIN is not specified in the lcddefine data member in the SOCKET class.",上記条件でも、LCDSTRB クラスのstrbデータ・メンバで設定したタイミング・セット5以上のストローブのタイミング値が正しく設定されるようにしました。,Strobe timing values of the timing set-5 and beyond specified in the strb data member in the LCDSTRB class are set correctly under the above-described condition.,R1.02_00以降,R1.02_00 and later,AT_T6KCommon_x64,,,PLXM20-MD,UN_ASDSoft3.xls,ASDSoft3小林(剛)
R1.04_01,小林(剛),BTS00029614,Defect,TDL,Testing Unit Class,任意ピン同時測定時、サンプリング信号のタイミング値が正しく設定されない現象,Timing values of the sampling signal in free-pin-assignment parallel test were not set correctly.,"下記に示す条件をすべて満たす場合、LCD_TIMINGクラスのsampデータ・メンバで設定したタイミング・セット5以上のサンプリング信号のタイミング値が正しく設定されませんでした。

・任意ピン同時測定を使用
・SAMP/RSAMP を含むパターン・プログラムで、タイミング・セット5以上を使用している
・物理ピン128チャンネルを1つの単位として、その中でチャンネル29,32を含んだLCDPINをSOCKETクラスのlcddefineデータ・メンバに指定していない","Sampling signal timing values of the timing set-5 and beyond specified in the sampling data member in the LCD_TIMING class were not set correctly under all of the following-met condition:
 - Free-pin-assignment parallel test
 - Timing set-5 and beyond are used in the SAMP/RSAMP specified pattern program.
 - Channel-29, 32 (of the physical pin 128 channel unit count) contained LCDPIN is not specified in the lcddefine data member in the SOCKET class.",上記条件でも、LCD_TIMINGクラスのsampデータ・メンバで設定したタイミング・セット5以上のサンプリング信号のタイミング値が正しく設定されるようにしました。,Sampling signal timing values of the timing set-5 and beyond specified in the sampling data member in the LCD_TIMING class are set correctly under the above- described condition.,R1.02_00以降,R1.02_00 and later,AT_T6KCommon_x64,,,PLXM20-MD,UN_ASDSoft3.xls,ASDSoft3小林(剛)
R1.04_01,6/9 三俣追記,BTS00029617,Defect,TDL,Testing Unit Class,マッチ機能が無効にならない現象,Match function was not disabled.,マッチ機能を有効にしたパターン・プログラムを実行した場合、その後のパターン・プログラムの実行でマッチ機能が無効になりませんでした。パターン・プログラムのMODE文の引数にHMATCHを指定した場合、マッチ機能が有効になります。,Match function was not disabled at the subsequent pattern program executions following the one where the match function was enabled. Match function Specification instructs that the match function is enabled by specifying HMATCH in the argument of the MODE sentence in the pattern program definitions.,マッチ機能を有効にしたパターン・プログラムを実行した場合、その後のパターン・プログラムの実行でマッチ機能が無効になるようにしました。,Match function is disabled at the subsequent pattern program executions following the one where the match function was enabled.,R1.00_00以降,R1.00_00 and later,AT_T6KCommon_x64,,,PLXM20-MD,UN_ASDSoft3.xls,ASDSoft3 三俣
R1.04_01,,BTS99999992,Enhancement,Cal/Diags,Structural_Diagnostics(ATSG),ADCテスト信号発生モジュールの対応,Support for the ADC Test Signal Generator Module,DCキャリブレーション、診断が、ADCテスト信号発生モジュールに対応しました。,DC Calibration and diagnostics now support the ADC Test Signal Generator Module.,,,,,"AT_T6KATSGCD_x64,AT_T6KCommonCD_x64",T6391 LCD ドライバ・テスト・システム ダイアグ・キャリブレーション解説書,T6391 LCD Driver Test System Diagnostics/Calibration Manual,PLXM20-CD,UN_CPD.xls,ASDテスト開発課　吉岡
R1.04_01,,BTS99999991,Enhancement,Cal/Diags,Structural_Diagnostics(System),T6391 RND440 TYPE2 HIFIX の対応,Support for the T6391 RND440 TYPE2 HIFIX,T6391 RND440 TYPE2 HIFIX 実装システムで、DCキャリブレーション、ACキャリブレーション、診断が実行できるようにしました。,"DC Calibration, AC Calibration, and diagnostics can now be executed for a system equipped with the T6391 RND440 TYPE2 HIFIX.",,,,,"AT_T6KAQMCD_x64,AT_T6KCommonCD_x64,AT_T6KDM8GbpsCD_x64,AT_T6KRC5VECD_x64,AT_T6KSGM208CD_x64",T6391 LCD ドライバ・テスト・システム ダイアグ・キャリブレーション解説書,T6391 LCD Driver Test System Diagnostics/Calibration Manual,PLXM20-CD,UN_CPD.xls,ASDテスト開発課　吉岡
R1.04_01,,BTS00029472,Enhancement,Emulator,General,T6391 RND440 TYPE2 HIFIX対応,Support for the T6391 RND440 TYPE2 HIFIX,T6391 システム・ソフトウェア エミュレータは、T6391 RND440 TYPE2 HIFIXを使用可能にしました。,The T6391 System Software emulator now supports the T6391 RND440 TYPE2 HIFIX.,,,,,"AT_T6KCommon_x64,AT_T6KSGM208_x64,T6KServices_x64",T6391 システム・ソフトウェア エミュレータ ユーザーズ・マニュアル,T6391 System Software Emulator User's Manual,"PLXE61,PLXT61,PLXM20-MD",UN_SoCSoft3.xls,arai
R1.04_01,"2016/6/14
",BTS00029547,Enhancement,Emulator,General,ADCテスト信号発生モジュールの対応,Support for the ADC Test Signal Generator Module,T6391 システム・ソフトウェア エミュレータは、ADCテスト信号発生モジュールを使用可能にしました。,The T6391 System Software emulator now supports the ADC Test Signal Generator Module.,,,,,"AT_T6KATSG_x64,AT_T6KCommon_x64",T6391 システム・ソフトウェア エミュレータ ユーザーズ・マニュアル,T6391 System Software Emulator User's Manual,PLXM20-MD,UN_SoCSoft3.xls,arai
R1.04_01,R1.04_00で追加予定だった機能の追加です。,BTS00029327,Enhancement,GUI_Tools,PatternEditor,グループ・パターンを連続した1つのパターンとして表示する機能の追加,Addition of a function that displays grouped patterns as a group of consecutive patterns.,"[File]->[Open Active Pattern]コマンドでグループ・パターンを連続した1つのパターンとして表示できるようにしました。
また、グループ・パターンに対してフェイル情報を表示できるようにしました。","Grouped patterns can now be displayed as a group of consecutive patterns by using the [File] -> [Open Active Pattern] command.
In addition, when displaying grouped patterns as a group of consecutive patterns, the fail information of it can be also displayed.",,,,,OAI_T6KOS_x64,T6391 システム・ソフトウェア GUI ツール リファレンス・マニュアル,T6391 System Software GUI Tool Reference Manual,"PLXE61,PLXT61",UN_APSoft1.xls,須田
R1.04_01,"2016/6/15変更
MUST",BTS00029552,Enhancement,GUI_Tools,SystemViewer,ADCテスト信号発生モジュールのデータの表示と変更する機能の追加,Addition of functions for displaying and editing data of the ADC Test Signal Generator Module,"以下のクラスで設定されたADCテスト信号発生モジュール(ATSG)のデータを表示できるようにしました。
・ExAWGクラス
・ExPMUクラス

また、変更用ダイアログを表示して、データを変更できるようにしました。","Data of the ADC Test Signal Generator Module (ATSG) set with the following classes can now be displayed: 
- ExAWG class
- ExPMU class

In addition, the data can now be edited by displaying a dialog box for changing data.",,,,,OAI_T6KOS_x64,T6391 システム・ソフトウェア GUI ツール リファレンス・マニュアル,T6391 System Software GUI Tool Reference Manual,"PLXE61,PLXT61",UN_APSoft1.xls,綿貫
R1.04_01,,BTS00029556,Enhancement,GUI_Tools,SystemViewer,論理ピン拡張機能の設定を表示する機能の追加,Addition of a function for displaying settings of the logical pin extension function,テスト・プラン・プログラムでSOCKETクラスのexpandデータ・メンバにONが設定されている場合、テスト情報エリアに論理ピン拡張機能の設定を表示できるようにしました。,Settings of the logical pin extension function can now be displayed in the test information area when the expand data member of the SOCKET class is set to ON in the test plan program.,,,,,OAI_T6KOS_x64,T6391 システム・ソフトウェア GUI ツール リファレンス・マニュアル,T6391 System Software GUI Tool Reference Manual,"PLXE61,PLXT61",UN_APSoft1.xls,綿貫
R1.04_01,2016/6/10追加,BTS00029629,Enhancement,GUI_Tools,SystemViewer,AWGデータでExPinGroupの変更用ダイアログ・ボックスを表示する機能の追加,Addition of a function for displaying the dialog box for changing data of ExPinGroup by AWG data.,AWGデータでExPinGroupを選択して[Data]->[Modify]コマンドを実行すると、変更用ダイアログ・ボックスを表示できるようにしました。,"If selecting ExPinGroup by AWG data and executing the [Data] -> [Modify] command, the dialog box for changing data will be displayed.",,,,,OAI_T6KOS_x64,T6391 システム・ソフトウェア GUI ツール リファレンス・マニュアル,T6391 System Software GUI Tool Reference Manual,"PLXE61,PLXT61",UN_APSoft1.xls,綿貫
R1.04_01,6/10 清野　追記,BTS00029627,Enhancement,GUI_Tools,TDLDebugger,無効化されたブレーク・ポイントの高速化,Speeding up of the disabled break point,ブレーク・ポイントを無効化した場合のテスト・プラン・プログラムの実行時間を高速化しました。,The execution time of the test plan program has been reduced when a break point is disabled.,,,,,AT_T6KCommon_x64,内部変更のため、マニュアルに変更はありません。,There is no change in the Manual for the internal change.,PLXM20-MD,UN_ASDSoft3.xls,ASDSoft3　清野
